addison_collection;collections;milton;instructions_and_moral;christianity;misc;steele;pope;spectator
T89166;T152606;T59213;T167175;T74589;T118173;T81482;T152369;N15829
T89167;T185000;N32814;N46318;N28942;T66913;;N66183;T163762
T170346;N35708;T134604;N25210;T74586;N54790;;T5446;N29780
T89184;T207887;T134621;T129459;T74583;T131564;;T177501;T97977
N10319;T189114;N26870;T86695;T118802;T117231;;T5463;T127063
N11313;T47424;N5703;T129169;T74593;T105889;;T5433;T97990
T88440;T130366;N52322;T180336;T74591;T153299;;T5432;T97920
;T75781;T170545;W17800;N9520;N6642;;T230901;T98582
;T63320;T170403;W21112;N31224;T60866;;T5443;T167216
;T92171;T133893;T116459;T74587;T139126;;T5445;T128606
;T216874;T134603;W21114;T74590;T224739;;;T119423
;N2050;T170381;T177698;W32158;N12773;;;N32316
;W37814;T133901;T123215;N31223;T107268;;;T70715
;T118408;T153742;W29726;T74584;T130681;;;T70716
;T192794;T69987;T210892;T74585;T122944;;;N33149
;T179586;T133934;T119955;T126796;T140544;;;
;T187039;T107643;T117520;T33596;T153844;;;
;W11887;T89182;T117520;T74592;T197400;;;
;N29557;T132846;T119327;P2926;R215418;;;
;T98536;T170410;T124742;T101148;N3561;;;
;T223149;N27264;T16301;N34864;T143096;;;
;N16023;T133912;N66398;T59800;T61261;;;
;N21691;T43624;T129749;T132168;T107275;;;
;T2891;N34471;W27675;N47259;T52761;;;
;N21693;T133909;T230842;N28084;N14855;;;
;N12908;T133942;T16300;N24230;T59741;;;
;T97704;N5701;N20345;T96439;T131512;;;
;N20962;T133928;T118537;T133993;T91053;;;
;T128710;N12056;T53582;T106240;T134620;;;
;T175636;T210462;T139895;T28178;T115835;;;
;T128707;T132981;T16299;P3066;T117529;;;
;T66895;T133903;T120761;T164451;N25883;;;
;T226120;N20430;T223327;T114582;T139428;;;
;T10036;T134227;T16298;T96444;T126476;;;
;T186338;T133896;T181440;N9953;T185929;;;
;T135036;T134624;W21116;T137448;T52762;;;
;P2570;T133904;T177707;T121516;T116310;;;
;P2404;T153744;T120443;T179988;;;;
;P1934;N40384;T54002;T59799;;;;
;T93372;T134233;T119423;T105614;;;;
;P6382;T59214;T114054;N21358;;;;
;P5995;W31084;T131121;T104635;;;;
;;T173121;T186956;T118905;;;;
;;T108185;T231348;T95014;;;;
;;T170398;T188154;S117838;;;;
;;R13351;T119967;N15990;;;;
;;T135469;T151642;T141448;;;;
;;T134228;W13407;T175623;;;;
;;T133945;T5339;T115568;;;;
;;T135450;T171390;T228758;;;;
;;T170406;T177272;T228099;;;;
;;N37997;T130937;N20757;;;;
;;T170547;T27815;N20763;;;;
;;T222607;N7391;T42652;;;;
;;T83119;T143734;T173536;;;;
;;N34469;T143711;N21249;;;;
;;T43620;T118022;T130081;;;;
;;T133938;T115120;T115328;;;;
;;T133892;T130263;N20766;;;;
;;T133907;T151667;T60727;;;;
;;T134232;T126614;T129386;;;;
;;T133911;T140342;T42653;;;;
;;N37988;T87969;T118977;;;;
;;T170415;T171519;T169632;;;;
;;T170402;T130938;T175334;;;;
;;T136165;T153926;T166062;;;;
;;T170404;T114007;T223286;;;;
;;T133943;T222670;T110765;;;;
;;T165736;T73174;;;;;
;;T170379;W25390;;;;;
;;T133908;N24074;;;;;
;;T170405;T127678;;;;;
;;W31089;T100351;;;;;
;;T133515;T92553;;;;;
;;T170548;T95170;;;;;
;;T133905;T196405;;;;;
;;T133944;T55595;;;;;
;;R13460;T95180;;;;;
;;T133939;T118979;;;;;
;;T170549;T211535;;;;;
;;N37990;T227472;;;;;
;;T170414;T85041;;;;;
;;T172207;T80863;;;;;
;;N34798;T100316;;;;;
;;T133891;T77067;;;;;
;;T180984;T105858;;;;;
;;T170409;N24068;;;;;
;;T175851;N24070;;;;;
;;T133913;T207819;;;;;
;;T170400;T207885;;;;;
;;T203484;N35804;;;;;
;;N37976;T203872;;;;;
;;W31085;P6670;;;;;
;;T133936;N15718;;;;;
;;T166159;T102885;;;;;
;;T219076;T199586;;;;;
;;T133941;N9129;;;;;
;;N37996;T224144;;;;;
;;T134628;T132319;;;;;
;;T133937;T102886;;;;;
;;T133916;W29947;;;;;
;;T133927;T103080;;;;;
;;T133921;T190487;;;;;
;;T135470;N24073;;;;;
;;T134636;T109223;;;;;
;;T133933;T205513;;;;;
;;T170396;T175886;;;;;
;;T134231;T120619;;;;;
;;T134605;T103081;;;;;
;;T133925;W37277;;;;;
;;N32818;T224156;;;;;
;;T135471;T62899;;;;;
;;N32817;W2925;;;;;
;;T133917;W38378;;;;;
;;N32815;T128582;;;;;
;;T133919;T105850;;;;;
;;T133935;T202397;;;;;
;;N45719;T178781;;;;;
;;T134617;N37015;;;;;
;;N15734;T87445;;;;;
;;T116624;W11597;;;;;
;;T194928;T207884;;;;;
;;T97527;N65522;;;;;
;;T134613;T129257;;;;;
;;T134620;W13398;;;;;
;;N33809;N5887;;;;;
;;;N19871;;;;;
;;;T143374;;;;;
;;;T4950;;;;;
;;;T143733;;;;;
;;;T95132;;;;;
;;;P2050;;;;;
;;;T105923;;;;;
;;;T223056;;;;;
;;;W20630;;;;;
;;;T300078;;;;;
;;;T121342;;;;;
;;;T143375;;;;;
;;;T78289;;;;;
;;;T62639;;;;;
;;;T105849;;;;;
;;;T102919;;;;;
;;;T133650;;;;;
;;;T143732;;;;;
;;;T167043;;;;;
;;;T136084;;;;;
;;;T223321;;;;;
;;;T167933;;;;;
;;;T95131;;;;;
;;;T199915;;;;;
;;;T105851;;;;;
;;;T204167;;;;;
;;;N43011;;;;;
;;;T105860;;;;;
;;;T103073;;;;;
;;;T105848;;;;;
;;;T105852;;;;;
;;;T85037;;;;;
;;;T84976;;;;;
;;;T95774;;;;;
;;;T77064;;;;;
;;;T108353;;;;;
;;;T146695;;;;;
;;;N41692;;;;;
;;;T128639;;;;;
;;;T206699;;;;;
;;;T120121;;;;;
;;;T86068;;;;;
;;;T124844;;;;;
;;;T202612;;;;;
;;;T129768;;;;;
;;;T129564;;;;;
;;;T27754;;;;;
;;;T144935;;;;;
;;;T87437;;;;;
;;;T147696;;;;;
;;;N35149;;;;;
;;;T202684;;;;;
;;;N33358;;;;;
;;;T32596;;;;;
;;;N1392;;;;;
;;;T162231;;;;;
;;;T26544;;;;;
;;;T170125;;;;;
;;;T166925;;;;;
;;;T85036;;;;;
;;;N6811;;;;;
;;;T5443;;;;;
;;;T167174;;;;;
;;;T226553;;;;;
;;;T230847;;;;;
;;;T121412;;;;;
;;;N5854;;;;;
;;;T167207;;;;;
;;;T128581;;;;;
;;;T90314;;;;;
