"","estc_id","title","sum","n"
"1","N1000","Continued corruption, standing armies, and popular discontents considered",2328,2
"2","N10000","George Barnwell",408,2
"3","N10001","George Barnwell",409,2
"4","N10052","Observations on the nature, kinds, causes, and prevention of insanity, lunacy, or madness",1367,2
"5","N10144","Memoirs of the Chevalier Pierpoint",1369,10
"6","N10216","The dramatic works of Henry Fielding, Esq",62,1
"7","N10236","Munster village, a novel",1042,7
"8","N10319","Maxims, observations, and reflections",101717,82
"9","N10370","The muses choice",3028,1
"10","N10473","Letters of Mr. Pope, and several eminent persons, from the year 1705, to 1711. .",3029,5
"11","N10475","Letters of Mr. Pope",2982,5
"12","N10486","A letter to a noble lord",210,1
"13","N10612","A letter to His Excellency Mr. Ulrick D'Ypres",235,2
"14","N10688","The marriage act",124,1
"15","N107","Letters on the improvement of the mind",763,2
"16","N11038","Original love-letters, between a lady of quality and a person of inferior station",108,2
"17","N11078","The patriot; or, The Irish packet open'd",105,1
"18","N11103","Essays on education",160,1
"19","N11120","A new system of the natural history",649,5
"20","N11262","A new miscellany of poems and translations",3509,2
"21","N11313","Maxims, observations and reflections",14635,14
"22","N11387","M.T. Ciceronis orationes quædam selectæ",141,1
"23","N11388","M.T. Ciceronis orationes quædam selectæ",149,1
"24","N11411","A letter to His Excellency Mr. Ulrick D'Ypres",230,2
"25","N11464","A letter of genteel and moral advice to a young lady",6695,49
"26","N11469","A new and comprehensive system of philology; or, a treatise of the literary arts and sciences, according to their present state",7752,4
"27","N11520","A plain and candid address to all lovers of the game at cards",541,1
"28","N11614","Miscellaneous and fugitive pieces",68,1
"29","N11678","The lucubrations of Isaac Bickerstaff Esq",77,1
"30","N11686","A poem upon tea. By Peter Motteux",235,3
"31","N11687","A poem in praise of tea",81,1
"32","N11764","The players, a satyr",4289,2
"33","N11785","Plays: viz. the orphan: and venice preserv'd. By Thomas Otway. To which is prefixed, A short account of the life of the author",243,1
"34","N11803","Poems and letters on several subjects",1660,4
"35","N11804","Poems and plays",306,2
"36","N11979","The psalms of David, imitated in the language of the New Testament",752,1
"37","N12056","The poetical works",95730,42
"38","N12060","The poetical works of Will. Shenstone",122,1
"39","N12069","The poetical works of Edmund Waller",75,1
"40","N12119","The polite academy; or, School of behaviour for young gentlemen and ladies",751,6
"41","N12151","Practical observations towards the prevention and cure of chronic diseases peculiar to women",464,1
"42","N12152","Practical observations towards the prevention and cure of chronic diseases peculiar to women",463,1
"43","N12282","The mountain of miseries",133,1
"44","N12396","The polite arts",1642,4
"45","N12527","Observations on the paving acts, reports, execution of work, &c",94,1
"46","N12773","The philosophy of medicine",13960,23
"47","N12908","Roach's beauties",10441,12
"48","N13162","The rudiments of English grammar adapted to the use of schools",6777,8
"49","N13167","The rule of life",2239,11
"50","N1329","Fugitive essays, in prose and verse",75,1
"51","N13434","The tea-table miscellany: or, A collection of choice songs, Scots and English. In four volumes The eleventh edition, being the compleatest and most correct of any yet published by Allan Ramsy. Vol. I",994,3
"52","N13435","The tea-Table miscellany",112,1
"53","N13484","The rambler. .",958,4
"54","N13485","The rambler",962,4
"55","N13487","The rambler",972,4
"56","N13488","The rambler",954,4
